province,date,active_cases_mean,date_active,cumulative_cases,cumulative_recovered,cumulative_deaths,active_cases,month,EndOfMonth
Alberta,2020-01,0.0,2020-01-31,0,0,0,0,1,2020-01-31
Alberta,2020-02,0.0,2020-02-29,0,0,0,0,2,2020-02-29
Alberta,2020-03,20.161290322580644,2020-03-31,754,120,9,625,3,2020-03-31
Alberta,2020-04,82.66666666666667,2020-04-30,5355,2161,89,3105,4,2020-04-30
Alberta,2020-05,-81.3225806451613,2020-05-31,7010,6283,143,584,5,2020-05-31
Alberta,2020-06,-2.95,2020-06-20,7673,6996,152,525,6,2020-06-30
BC,2020-01,0.14285714285714285,2020-01-31,1,0,0,1,1,2020-01-31
BC,2020-02,0.10344827586206896,2020-02-29,8,4,0,4,2,2020-02-29
BC,2020-03,15.419354838709678,2020-03-31,1013,507,24,482,3,2020-03-31
BC,2020-04,6.566666666666666,2020-04-30,2112,1322,111,679,4,2020-04-30
BC,2020-05,-14.548387096774194,2020-05-31,2573,2181,164,228,5,2020-05-31
BC,2020-06,-2.5,2020-06-20,2790,2444,168,178,6,2020-06-30
Manitoba,2020-01,0.0,2020-01-31,0,0,0,0,1,2020-01-31
Manitoba,2020-02,0.0,2020-02-29,0,0,0,0,2,2020-02-29
Manitoba,2020-03,3.161290322580645,2020-03-31,103,4,1,98,3,2020-03-31
Manitoba,2020-04,-1.6333333333333333,2020-04-30,275,220,6,49,4,2020-04-30
Manitoba,2020-05,-1.2580645161290323,2020-05-31,295,278,7,10,5,2020-05-31
Manitoba,2020-06,0.15,2020-06-20,313,293,7,13,6,2020-06-30
NL,2020-01,0.0,2020-01-31,0,0,0,0,1,2020-01-31
NL,2020-02,0.0,2020-02-29,0,0,0,0,2,2020-02-29
NL,2020-03,4.645161290322581,2020-03-31,152,7,1,144,3,2020-03-31
NL,2020-04,-3.8,2020-04-30,258,225,3,30,4,2020-04-30
NL,2020-05,-0.8709677419354839,2020-05-31,261,255,3,3,5,2020-05-31
NL,2020-06,-0.15,2020-06-20,261,258,3,0,6,2020-06-30
NWT,2020-01,0.0,2020-01-31,0,0,0,0,1,2020-01-31
NWT,2020-02,0.0,2020-02-29,0,0,0,0,2,2020-02-29
NWT,2020-03,0.03225806451612903,2020-03-31,1,0,0,1,3,2020-03-31
NWT,2020-04,-0.03333333333333333,2020-04-30,5,5,0,0,4,2020-04-30
