province,date_active,cumulative_cases,cumulative_recovered,cumulative_deaths,active_cases,active_cases_change,month,date,EndOfMonth
Alberta,2020-01-31,0,0,0,0,0,1,2020-01,2020-01-31
Alberta,2020-02-29,0,0,0,0,0,2,2020-02,2020-02-29
Alberta,2020-03-31,754,120,9,625,37,3,2020-03,2020-03-31
Alberta,2020-04-30,5355,2161,89,3105,-20,4,2020-04,2020-04-30
Alberta,2020-05-31,7010,6283,143,584,-20,5,2020-05,2020-05-31
BC,2020-01-31,1,0,0,1,0,1,2020-01,2020-01-31
BC,2020-02-29,8,4,0,4,1,2,2020-02,2020-02-29
BC,2020-03-31,1013,507,24,482,0,3,2020-03,2020-03-31
BC,2020-04-30,2112,1322,111,679,6,4,2020-04,2020-04-30
BC,2020-05-31,2573,2181,164,228,0,5,2020-05,2020-05-31
Manitoba,2020-01-31,0,0,0,0,0,1,2020-01,2020-01-31
Manitoba,2020-02-29,0,0,0,0,0,2,2020-02,2020-02-29
Manitoba,2020-03-31,103,4,1,98,5,3,2020-03,2020-03-31
Manitoba,2020-04-30,275,220,6,49,-5,4,2020-04,2020-04-30
Manitoba,2020-05-31,295,278,7,10,1,5,2020-05,2020-05-31
New Brunswick,2020-01-31,0,0,0,0,0,1,2020-01,2020-01-31
New Brunswick,2020-02-29,0,0,0,0,0,2,2020-02,2020-02-29
New Brunswick,2020-03-31,70,9,0,61,-5,3,2020-03,2020-03-31
New Brunswick,2020-04-30,118,114,0,4,0,4,2020-04,2020-04-30
New Brunswick,2020-05-31,132,120,0,12,3,5,2020-05,2020-05-31
NL,2020-01-31,0,0,0,0,0,1,2020-01,2020-01-31
NL,2020-02-29,0,0,0,0,0,2,2020-02,2020-02-29
NL,2020-03-31,152,7,1,144,4,3,2020-03,2020-03-31
NL,2020-04-30,258,225,3,30,0,4,2020-04,2020-04-30
NL,2020-05-31,261,255,3,3,0,5,2020-05,2020-05-31
Alberta,2020-06-20,7673,6996,152,525,13,6,2020-06,2020-06-30
BC,2020-06-20,2790,2444,168,178,0,6,2020-06,2020-06-30
Manitoba,2020-06-20,313,293,7,13,2,6,2020-06,2020-06-30
New Brunswick,2020-06-20,164,135,2,27,1,6,2020-06,2020-06-30
NL,2020-06-20,261,258,3,0,0,6,2020-06,2020-06-30
